132,Sliding Window Maximum,Sliding Window,Hard,https://www.youtube.com/watch?v=GIYk1wit12k,https://leetcode.com/problems/sliding-window-maximum/
133,Largest Rectangle In Histogram,Stack,Hard,https://www.youtube.com/watch?v=IasMlShanvc,https://leetcode.com/problems/largest-rectangle-in-histogram/
134,Median of Two Sorted Arrays,Binary Search,Hard,https://www.youtube.com/watch?v=LRM4qiHLYCE,https://leetcode.com/problems/median-of-two-sorted-arrays/
135,Merge K Sorted Lists,Linked List,Hard,https://www.youtube.com/watch?v=SlKgDtpJnxg,https://leetcode.com/problems/merge-k-sorted-lists/
136,Reverse Nodes In K Group,Linked List,Hard,https://www.youtube.com/watch?v=P9_K8M4nnf0,https://leetcode.com/problems/reverse-nodes-in-k-group/
137,Binary Tree Maximum Path Sum,Trees,Hard,https://www.youtube.com/watch?v=6wv9yMSenvQ,https://leetcode.com/problems/binary-tree-maximum-path-sum/
138,Serialize And Deserialize Binary Tree,Trees,Hard,https://www.youtube.com/watch?v=vqbpTOU-LS4,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
139,Word Search II,Tries,Hard,https://www.youtube.com/watch?v=8K2Sh9ingJA,https://leetcode.com/problems/word-search-ii/
140,Find Median From Data Stream,Heap / Priority Queue,Hard,https://www.youtube.com/watch?v=IKpM6Q8wTIY,https://leetcode.com/problems/find-median-from-data-stream/
141,N Queens,Backtracking,Hard,,https://leetcode.com/problems/n-queens/
142,Word Ladder,Graphs,Hard,https://www.youtube.com/watch?v=isLTjdCw52s,https://leetcode.com/problems/word-ladder/
143,Reconstruct Itinerary,Advanced Graphs,Hard,,https://leetcode.com/problems/reconstruct-itinerary/
144,Swim In Rising Water,Advanced Graphs,Hard,,https://leetcode.com/problems/swim-in-rising-water/
145,Alien Dictionary,Advanced Graphs,Hard,https://www.youtube.com/watch?v=1QbsN5JyPto,https://leetcode.com/problems/alien-dictionary/
146,Longest Increasing Path In a Matrix,2-D Dynamic Programming,Hard,https://www.youtube.com/watch?v=gvwTGXP-reQ,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/
147,Distinct Subsequences,2-D Dynamic Programming,Hard,,https://leetcode.com/problems/distinct-subsequences/
148,Burst Balloons,2-D Dynamic Programming,Hard,,https://leetcode.com/problems/burst-balloons/
149,Regular Expression Matching,2-D Dynamic Programming,Hard,https://www.youtube.com/watch?v=VFQddcCP46c,https://leetcode.com/problems/regular-expression-matching/
150,Minimum Interval to Include Each Query,Intervals,Hard,,https://leetcode.com/problems/minimum-interval-to-include-each-query/
